Neuron_ID,Contribution
261,855963642.0
3848,768038052.0
14870,206918192.0
14448,200768391.0
4182,121216578.0
13752,101005458.0
5845,94048899.0
14391,65872602.0
6408,35302920.0
1802,31375344.0
14129,30430834.0
14836,24880128.0
13052,23877968.0
11326,13615020.0
2824,11736321.0
2952,11387416.0
4273,10551104.0
11587,9931369.0
8926,8425296.0
3627,7964502.0
14371,7021812.0
7821,6971545.0
13969,6314460.0
12264,4833525.0
7339,4173680.0
10873,3386060.0
13145,2893205.0
10934,2726360.0
9228,2721460.0
3222,2481712.0
13404,2425059.0
3650,2377546.0
2563,2102976.0
3173,2053323.0
15395,1998906.0
15053,1646920.0
11139,1353240.0
10337,1341119.0
12003,1208844.0
12252,1041960.0
9263,1005312.0
11388,841299.0
5328,725326.0
9589,698554.0
9974,687104.0
10315,681372.0
15034,572550.0
15906,567945.0
12764,531255.0
11271,432520.0
7067,427140.0
13171,350208.0
12893,296980.0
15393,287966.0
953,276138.0
6749,266400.0
1353,249378.0
157,246785.0
1065,242964.0
10660,241425.0
11200,240768.0
7540,239760.0
2695,235081.0
7334,231080.0
12010,230146.0
7449,228944.0
3954,219008.0
13078,211077.0
2765,207527.0
6307,193640.0
7681,173456.0
13943,172935.0
8167,170240.0
6389,169632.0
11268,168961.0
12385,162532.0
1143,148350.0
15621,143782.0
196,134472.0
617,130269.0
15832,125222.0
1549,114056.0
5846,110544.0
6325,100814.0
14511,100724.0
12788,94320.0
4680,94250.0
15698,94221.0
9515,92535.0
13138,89030.0
9031,84352.0
356,80236.0
2204,75423.0
6760,67053.0
9253,66672.0
1859,66360.0
10942,66033.0
14550,62320.0
10219,62300.0
13928,62288.0
112,56880.0
5204,56225.0
11175,55458.0
15013,55264.0
51,54205.0
6354,52800.0
12305,52206.0
13168,51794.0
2148,51512.0
3105,50600.0
3224,49000.0
13580,46361.0
2402,43680.0
954,43056.0
16374,42582.0
2528,41496.0
4388,40552.0
7046,39780.0
15837,39284.0
5175,38745.0
14986,38720.0
123,37392.0
5354,37200.0
7654,35621.0
10576,35588.0
11824,34569.0
1922,34048.0
8666,33864.0
12124,33798.0
5852,33304.0
6636,32964.0
14907,32545.0
12342,31968.0
1574,31117.0
9017,30694.0
3776,30284.0
5844,29328.0
241,29097.0
11008,28676.0
8448,28037.0
2513,27951.0
3415,26867.0
15356,26488.0
4465,26460.0
1552,26420.0
2602,26312.0
15955,26070.0
13076,26016.0
